Candidate,Item097,Item098,Item100,Item101,Item104,Item105,Item106,Item107,Item108,Item109,Item115,Item116,Item117,Item118,Item119,Item120,Item121,Item122,Item123,Item124,Item125,Item126,Item127,Item128,Item129,Item130,Item131,Item132,Item133,Item134,Item135,Item136,Item137,Item140,Item141,Item142,Item143,Item144,Item157,Item158,Item159,Item160,Item162,Item163,Item164,Item166,Item167,Item168,Item145,Item147,Item148,Item150,Item151,Item152,Item153,Item154,Item155,Item156,Item183,Item184,Item185,Item186,Item187,Item188,Item189,Item190,Item191,Item192
Cand00735,1,1,1,1,1,1,1,1,0,1,1,1, , , , , , , , ,0,1,1,0,0,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Cand00737,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1, , , , , , , , , , , , , , , , , , ,1,0,1,0,1,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , 
Cand00754,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1, , , , , , , , , , , , , , , , , , ,1,1,1,0,1,1,0,1,0,1, , , , , , , , , , , , , , , , , , , , 
Cand00762,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,1,0,0,0,0, , , , , , , , , , 
Cand00778,1,1,0,1,1,1,0,1,0,1,1,1, , , , , , , , ,0,1,1,0,1,0,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Cand00783,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1, , , , , , , , , , , , , , , , , , ,1,1,1,0,1,0,0,1,0,1, , , , , , , , , , , , , , , , , , , , 
Cand00789,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0,1,0,1,0,1,1,0, , , , , , , , , , 
Cand00799,0,0,0,1,1,1,0,1,0,0,1,1, , , , , , , , ,0,1,0,0,0,0,0,0, , , , , , , , , , ,0,0,1,0,1,1,0,0,0,0, , , , , , , , , , , , , , , , , , , , 
Cand00801,0,1,1,1,0,1,0,0,0,1,1,1, , , , , , , , ,0,1,1,0,0,0,1,0, , , , , , , , , , ,1,0,1,0,0,0,0,0,1,1, , , , , , , , , , , , , , , , , , , , 
Cand00831,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1, , , , , , , , , , , , , , , , , , ,1,0,1,0,1,0,1,1,0,1, , , , , , , , , , , , , , , , , , , , 
Cand00832,0,1,0,1,1,1,1,1,0,0,1,0, , , , , , , , ,0,0,0,0,0,0,0,0, , , , , , , , , , ,1,1,1,0,1,0,0,1,1,0, , , , , , , , , , , , , , , , , , , , 
Cand00835,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1, , , , , , , , , , , , , , , , , , ,0,1,1,0,1,0,0,0,1,1, , , , , , , , , , , , , , , , , , , , 
Cand00839,0,1,0,1,1,1,0,1,0,0,1,0, , , , , , , , ,0,0,1,0,0,0,0,0, , , , , , , , , , ,1,1,1,0,0,1,1,0,1,1, , , , , , , , , , , , , , , , , , , , 
Cand00843,1,1,1,1,1,1,1,1,0,1,1,1, , , , , , , , ,0,1,0,0,0,1,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Cand00882,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1, , , , , , , , ,0,1,1,0,0,0,1,0,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Cand00883,1,1,0,1,1,1,0,1,0,1,1,0, , , , , , , , ,0,1,1,0,0,0,1,0, , , , , , , , , , ,0,0,0,0,0,0,0,1,0,1, , , , , , , , , , , , , , , , , , , , 
Cand00885,1,1,1,1,1,1,0,1,0,1,1,1, , , , , , , , ,0,1,1,0,0,1,1,0, , , , , , , , , , ,1,1,1,0,1,0,0,1,1,1, , , , , , , , , , , , , , , , , , , , 
Cand00893,0,1,1,1,0,1,1,1,0,1,1,0, , , , , , , , ,0,1,0,0,0,0,0,0, , , , , , , , , , ,1,1,1,1,1,0,0,1,0,1, , , , , , , , , , , , , , , , , , , , 
Cand00901,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1, , , , , , , , ,0,1,1,0,1,0,0,1,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Cand00904,1,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1, , , , , , , , , , , , , , , , , , ,0,0,1,1,1,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , 
Cand00905,1,0,0,1,1,1,0,1,0,0,1,1, , , , , , , , ,0,1,0,0,1,0,0,0, , , , , , , , , , ,0,1,0,0,1,0,0,1,0,0, , , , , , , , , , , , , , , , , , , , 
Cand00914,0,1,0,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1, , , , , , , , , , , , , , , , , , ,0,0,1,0,1,0,0,1,1,1, , , , , , , , , , , , , , , , , , , , 
Cand00930,1,1,1,1,1,1,0,1,1,1,1,1, , , , , , , , ,1,1,1,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Cand00944,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,1,0, , , , , , , , , , 
Cand00948,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,0,0,0,0,1,0,0,0, , , , , , , , , , 
Cand00949,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1, , , , , , , , , , , , , , , , , , ,0,1,1,0,1,0,0,1,1,1, , , , , , , , , , , , , , , , , , , , 
Cand00956,0,1,1,1,1,0,0,1,0,0,1,1, , , , , , , , ,0,1,1,0,0,0,0,0, , , , , , , , , , ,1,1,1,0,0,1,0,1,1,1, , , , , , , , , , , , , , , , , , , , 
